customer_id,customer_name,email,country,signup_date
1,Diego Silva,diego.silva1@email.com,US,2025-05-21
2,Henrique Souza,henrique.souza2@email.com,BR,2026-01-13
3,Diego Gomes,diego.gomes3@email.com,BR,2025-10-30
4,Otavio Silva,otavio.silva4@email.com,BR,2025-02-17
5,Gabriela Souza,gabriela.souza5@email.com,CL,2025-11-05
6,Ana Gomes,ana.gomes6@email.com,BR,2026-01-02
7,Thiago Almeida,thiago.almeida7@email.com,BR,2025-08-18
8,Vanessa Rodrigues,vanessa.rodrigues8@email.com,BR,2026-01-24
9,Felipe Almeida,felipe.almeida9@email.com,BR,2025-05-23
10,Eduarda Souza,eduarda.souza10@email.com,BR,2025-02-22
11,Carla Almeida,carla.almeida11@email.com,BR,2025-07-03
12,Marcos Ribeiro,marcos.ribeiro12@email.com,BR,2026-02-18
13,Bruno Costa,bruno.costa13@email.com,CL,2025-03-05
14,Natalia Santos,natalia.santos14@email.com,CL,2025-05-31
15,Victor Ferreira,victor.ferreira15@email.com,CL,2025-04-09
16,Carla Silva,carla.silva16@email.com,US,2025-04-27
17,Joao Santos,joao.santos17@email.com,BR,2026-03-20
18,Diego Almeida,diego.almeida18@email.com,BR,2025-08-21
19,Marcos Oliveira,marcos.oliveira19@email.com,BR,2025-07-01
20,Gabriela Rodrigues,gabriela.rodrigues20@email.com,US,2025-12-16
21,Carla Ribeiro,carla.ribeiro21@email.com,US,2025-03-29
22,Thiago Souza,thiago.souza22@email.com,BR,2025-08-25
23,Natalia Rodrigues,natalia.rodrigues23@email.com,US,2025-12-19
24,Thiago Souza,thiago.souza24@email.com,US,2025-06-16
25,Bruno Souza,bruno.souza25@email.com,BR,2026-02-17
26,Larissa Almeida,larissa.almeida26@email.com,BR,2025-02-03
27,Gabriela Ribeiro,gabriela.ribeiro27@email.com,US,2025-06-11
28,Gabriela Costa,gabriela.costa28@email.com,AR,2025-11-26
29,Paula Oliveira,paula.oliveira29@email.com,BR,2025-03-13
30,Henrique Gomes,henrique.gomes30@email.com,CL,2025-05-15
31,Vanessa Almeida,vanessa.almeida31@email.com,CL,2025-07-24
32,Marcos Souza,marcos.souza32@email.com,BR,2025-09-18
33,Rafael Santos,rafael.santos33@email.com,BR,2026-03-17
34,Diego Oliveira,diego.oliveira34@email.com,US,2025-03-23
35,Otavio Ribeiro,otavio.ribeiro35@email.com,BR,2025-07-17
36,Natalia Ribeiro,natalia.ribeiro36@email.com,AR,2025-09-28
37,Isabela Gomes,isabela.gomes37@email.com,BR,2025-12-15
38,Diego Gomes,diego.gomes38@email.com,BR,2026-01-29
39,Larissa Santos,larissa.santos39@email.com,BR,2025-08-11
40,Felipe Costa,felipe.costa40@email.com,BR,2026-01-05
41,Isabela Gomes,isabela.gomes41@email.com,BR,2025-09-17
42,Diego Rodrigues,diego.rodrigues42@email.com,US,2025-09-17
43,Victor Souza,victor.souza43@email.com,BR,2025-07-11
44,Felipe Gomes,felipe.gomes44@email.com,CL,2025-01-01
45,Victor Ferreira,victor.ferreira45@email.com,AR,2025-01-10
46,Diego Ferreira,diego.ferreira46@email.com,BR,2025-05-03
47,Bruno Souza,bruno.souza47@email.com,CL,2025-02-10
48,Carla Costa,carla.costa48@email.com,BR,2026-01-25
49,Thiago Oliveira,thiago.oliveira49@email.com,BR,2025-12-04
50,Rafael Gomes,rafael.gomes50@email.com,BR,2025-05-16
5,Gabriela Souza,gabriela.souza5@email.com,CL,2025-11-05
999,Cliente Sem Email,,BR,2026-02-10
